Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Reference
	term		"1.794828784"		
"1s.10s"	"3S"	"1"	"[1.796519552474]"	"0.000000000012"	"L8948"
	term		"1.796519552"		
"1s.10s"	"1S"	"0"	"[1.796855192986]"	"0.000000000010"	"L8948"
	term		"1.796855193"		
"1s.10p"	"3P*"	"2"	"[1.797003430395]"	"0.000000000007"	"L8948"
"1s.10p"	"3P*"	"1"	"[1.797003435372]"	"0.000000000007"	"L8948"
"1s.10p"	"3P*"	"0"	"[1.797003496548]"	"0.000000000007"	"L8948"
	term		"1.797003439"		
"1s.10d"	"3D"	"3"	"[1.797135501594]"	"0.000000000004"	"L8948"
"1s.10d"	"3D"	"2"	"[1.797135502359]"	"0.000000000004"	"L8948"
"1s.10d"	"3D"	"1"	"[1.797135513097]"	"0.000000000004"	"L8948"
	term		"1.797135504"		
"1s.10d"	"1D"	"2"	"[1.797136993059]"	"0.000000000004"	"L8948"
	term		"1.797136993"		
"1s.10f"	"3F*"	"3"	"[1.797140296111]"	"0.000000000004"	"L8948"
"1s.10f"	"3F*"	"4"	"[1.797140298790]"	"0.000000000004"	"L8948"
"1s.10f"	"3F*"	"2"	"[1.797140303810]"	"0.000000000004"	"L8948"
	term		"1.797140299"		
"1s.10f"	"1F*"	"3"	"[1.797140312008]"	"0.000000000004"	"L8948"
	term		"1.797140312"		
"1s.10g"	"3G"	"4"	"[1.797140917250]"	"0.000000000004"	"L8948"
"1s.10g"	"3G"	"5"	"[1.797140920397]"	"0.000000000004"	"L8948"
"1s.10g"	"3G"	"3"	"[1.797140923266]"	"0.000000000004"	"L8948"
	term		"1.797140920"		
"1s.10g"	"1G"	"4"	"[1.797140925207]"	"0.000000000004"	"L8948"
	term		"1.797140925"		
"1s.10h"	"3H*"	"5"	"[1.797141067883]"	"0.000000000004"	"L8948"
"1s.10h"	"3H*"	"6"	"[1.797141069938]"	"0.000000000004"	"L8948"
"1s.10h"	"3H*"	"4"	"[1.797141071804]"	"0.000000000004"	"L8948"
	term		"1.797141070"		
"1s.10h"	"1H*"	"5"	"[1.797141073196]"	"0.000000000004"	"L8948"
	term		"1.797141073"		
"1s.10i"	"3I"	"6"	"[1.797141116411]"	"0.000000000004"	"L8948"
"1s.10i"	"3I"	"7"	"[1.797141117853]"	"0.000000000004"	"L8948"
"1s.10i"	"3I"	"5"	"[1.797141119166]"	"0.000000000004"	"L8948"
	term		"1.797141118"		
"1s.10i"	"1I"	"6"	"[1.797141120210]"	"0.000000000004"	"L8948"
	term		"1.797141120"		
"1s.10k"	"3K*"	"7"	"[1.797141135389]"	"0.000000000004"	"L8948"
"1s.10k"	"3K*"	"8"	"[1.797141136455]"	"0.000000000004"	"L8948"
"1s.10k"	"3K*"	"6"	"[1.797141137431]"	"0.000000000004"	"L8948"
	term		"1.797141136"		
"1s.10k"	"1K*"	"7"	"[1.797141138239]"	"0.000000000004"	"L8948"
	term		"1.797141138"		
"1s.10p"	"1P*"	"1"	"[1.797165242627]"	"0.000000000007"	"L8948"
	term		"1.797165243"		
"1s.11p"	"1P*"	"1"	"[1.79889465]"	"0.00000019"	"L366"
	term		"1.79889465"		
"1s.12p"	"1P*"	"1"	"[1.80021025]"	"0.00000019"	"L366"
	term		"1.80021025"		
"1s.13p"	"1P*"	"1"	"[1.80123442]"	"0.00000019"	"L366"
	term		"1.80123442"		
"1s.14p"	"1P*"	"1"	"[1.80204718]"	"0.00000019"	"L366"
	term		"1.80204718"		
"1s.15p"	"1P*"	"1"	"[1.80270302]"	"0.00000019"	"L366"
	term		"1.80270302"		
