Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3p6.3d7.(4F).4d"	"5P"	"1"	""	"2.666724"	""	""	"  71             :    17  3d7.(4F).4d  5D   "	""
"3p6.3d7.(4F).4d"	"5H"	"3"	""	"2.669222"	""	""	"  93                                        "	""
"3p6.3d7.(4F).4d"	"3D"	"2"	""	"2.670210"	""	""	"  87                                        "	""
"3p6.3d7.(4F).4d"	"3H"	"5"	""	"2.673650"	""	""	"  82             :    12  3d7.(4F).4d  5H   "	""
"3p6.3d7.(4F).4d"	"3G"	"3"	""	"2.674692"	""	""	"  92                                        "	""
"3p6.3d7.(4F).4d"	"3D"	"1"	""	"2.679265"	""	""	"  96                                        "	""
"3p6.3d6.4s2"	"5D"	"4"	""	"2.680510"	""	""	"  69             :    28  3d7.(4F).4d  5D   "	""
"3p6.3d7.(4F).4d"	"3H"	"4"	""	"2.683357"	""	""	"  91                                        "	""
"3p6.3d6.4s2"	"5D"	"3"	""	"2.691043"	""	""	"  69             :    27  3d7.(4F).4d  5D   "	""
"3p6.3d7.(4F).4d"	"3F"	"4"	""	"2.696534"	""	""	"  82                                        "	""
"3p6.3d6.4s2"	"5D"	"2"	""	"2.697718"	""	""	"  69             :    26  3d7.(4F).4d  5D   "	""
"3p6.3d6.4s2"	"5D"	"1"	""	"2.701854"	""	""	"  71             :    25  3d7.(4F).4d  5D   "	""
"3p6.3d7.(4F).4d"	"3P"	"2"	""	"2.702576"	""	""	"  83                                        "	""
"3p6.3d7.(4F).4d"	"3F"	"3"	""	"2.705664"	""	""	"  80                                        "	""
"3p6.3d7.(4F).4d"	"3F"	"2"	""	"2.711515"	""	""	"  80                                        "	""
"3p6.3d7.(4F).4d"	"3P"	"1"	""	"2.714947"	""	""	"  89                                        "	""
"3p6.3d7.(4F).5s"	"5F"	"5"	""	"2.748673"	""	""	"  99                                        "	""
"3p6.3d7.(4F).5s"	"5F"	"4"	""	"2.758244"	""	""	"  83             :    16  3d7.(4F).5s  3F   "	""
"3p6.3d7.(4F).5s"	"5F"	"3"	""	"2.768415"	""	""	"  92                                        "	""
"3p6.3d7.(4F).5s"	"3F"	"4"	""	"2.772484"	""	""	"  83             :    16  3d7.(4F).5s  5F   "	""
"3p6.3d7.(4F).5s"	"5F"	"2"	""	"2.775717"	""	""	"  97                                        "	""
"3p6.3d7.(4F).5s"	"5F"	"1"	""	"2.780422"	""	""	"  99                                        "	""
"3p6.3d7.(4F).5s"	"3F"	"3"	""	"2.787165"	""	""	"  92                                        "	""
"3p6.3d7.(4F).5s"	"3F"	"1"	""	"2.797059"	""	""	"  97                                        "	""
"3p6.3d7.(4P).4d"	"5P"	"1"	""	"2.797430"	""	""	"  99                                        "	""
"3p6.3d7.(4P).4d"	"5P"	"2"	""	"2.799112"	""	""	"  97                                        "	""
"3p6.3d7.(4P).4d"	"5P"	"3"	""	"2.802304"	""	""	"  95                                        "	""
"3p6.3d7.(4P).4d"	"5F"	"5"	""	"2.819587"	""	""	"  98                                        "	""
"3p6.3d7.(4P).4d"	"5F"	"4"	""	"2.820284"	""	""	"  92                                        "	""
"3p6.3d7.(4P).4d"	"5F"	"3"	""	"2.821767"	""	""	"  88                                        "	""
"3p6.3d7.(4P).4d"	"5F"	"2"	""	"2.823695"	""	""	"  87                                        "	""
"3p6.3d7.(4P).4d"	"5F"	"1"	""	"2.825448"	""	""	"  86                                        "	""
"3p6.3d7.(2G).4d"	"3D"	"3"	""	"2.832220"	""	""	"  82                                        "	""
"3p6.3d7.(4P).4d"	"3F"	"3"	""	"2.834138"	""	""	"  44             :    29  3d7.(2G).4d  1F   "	""
"3p6.3d7.(4P).4d"	"3F"	"4"	""	"2.835653"	""	""	"  83                                        "	""
"3p6.3d7.(2G).4d"	"3D"	"2"	""	"2.836537"	""	""	"  53             :    19  3d7.(4P).4d  3F   "	""
"3p6.3d7.(2G).4d"	"3I"	"7"	""	"2.839763"	""	""	"  95                                        "	""
"3p6.3d7.4d"	""	"1"	""	"2.840663"	""	""	"  32  3P         :    24  3d7.(2G).4d  3D   "	""
"3p6.3d7.(2G).4d"	"3I"	"6"	""	"2.840810"	""	""	"  71             :    20  3d7.(2G).4d  1I   "	""
"3p6.3d7.(2G).4d"	"3G"	"5"	""	"2.843138"	""	""	"  78             :    13  3d7.(2G).4d  3H   "	""
"3p6.3d7.(4P).4d"	"3F"	"2"	""	"2.843713"	""	""	"  57             :    20  3d7.(2G).4d  3D   "	""
