R rho Te mu radheat radcool PdV advheat advcool
1.10425e+00 7.72212e-15 4.63129e+03 2.41194e+00 2.87611e-07 2.55626e-07 2.21193e-08 0.00000e+00 4.66443e-09
1.10517e+00 7.66232e-15 4.63304e+03 2.41024e+00 2.86253e-07 2.54363e-07 2.20702e-08 0.00000e+00 4.65681e-09
1.10609e+00 7.60315e-15 4.63480e+03 2.40854e+00 2.84872e-07 2.53079e-07 2.20211e-08 0.00000e+00 4.64906e-09
1.10701e+00 7.54393e-15 4.63656e+03 2.40683e+00 2.83491e-07 2.51794e-07 2.19721e-08 0.00000e+00 4.64117e-09
1.10793e+00 7.48446e-15 4.63833e+03 2.40511e+00 2.82076e-07 2.50466e-07 2.19233e-08 0.00000e+00 4.63315e-09
1.10885e+00 7.42475e-15 4.64012e+03 2.40338e+00 2.80632e-07 2.49097e-07 2.18745e-08 0.00000e+00 4.62501e-09
1.10977e+00 7.36500e-15 4.64191e+03 2.40165e+00 2.79187e-07 2.47728e-07 2.18259e-08 0.00000e+00 4.61673e-09
1.11069e+00 7.30738e-15 4.64368e+03 2.39995e+00 2.77786e-07 2.46414e-07 2.17773e-08 0.00000e+00 4.60833e-09
1.11162e+00 7.25109e-15 4.64543e+03 2.39826e+00 2.76411e-07 2.45136e-07 2.17289e-08 0.00000e+00 4.59983e-09
1.11254e+00 7.19475e-15 4.64718e+03 2.39657e+00 2.75036e-07 2.43856e-07 2.16805e-08 0.00000e+00 4.59122e-09
1.11347e+00 7.13948e-15 4.64899e+03 2.39488e+00 2.73686e-07 2.42616e-07 2.16322e-08 0.00000e+00 4.58251e-09
1.11440e+00 7.08495e-15 4.65085e+03 2.39318e+00 2.72353e-07 2.41401e-07 2.15841e-08 0.00000e+00 4.57370e-09
1.11532e+00 7.03037e-15 4.65272e+03 2.39147e+00 2.71020e-07 2.40186e-07 2.15360e-08 0.00000e+00 4.56480e-09
1.11625e+00 6.97748e-15 4.65452e+03 2.38978e+00 2.69749e-07 2.39002e-07 2.14880e-08 0.00000e+00 4.55581e-09
1.11718e+00 6.92555e-15 4.65628e+03 2.38808e+00 2.68515e-07 2.37836e-07 2.14401e-08 0.00000e+00 4.54674e-09
1.11811e+00 6.87358e-15 4.65804e+03 2.38639e+00 2.67280e-07 2.36668e-07 2.13923e-08 0.00000e+00 4.53760e-09
1.11904e+00 6.82207e-15 4.65974e+03 2.38468e+00 2.65995e-07 2.35463e-07 2.13446e-08 0.00000e+00 4.52839e-09
1.11997e+00 6.77075e-15 4.66140e+03 2.38296e+00 2.64686e-07 2.34239e-07 2.12970e-08 0.00000e+00 4.51911e-09
1.12090e+00 6.71938e-15 4.66307e+03 2.38123e+00 2.63376e-07 2.33015e-07 2.12495e-08 0.00000e+00 4.50978e-09
1.12184e+00 6.66837e-15 4.66471e+03 2.37949e+00 2.62044e-07 2.31766e-07 2.12020e-08 0.00000e+00 4.50042e-09
1.12277e+00 6.61745e-15 4.66635e+03 2.37775e+00 2.60702e-07 2.30508e-07 2.11547e-08 0.00000e+00 4.49102e-09
1.12370e+00 6.56648e-15 4.66799e+03 2.37600e+00 2.59360e-07 2.29249e-07 2.11075e-08 0.00000e+00 4.48158e-09
1.12464e+00 6.51519e-15 4.66965e+03 2.37424e+00 2.57973e-07 2.27940e-07 2.10603e-08 0.00000e+00 4.47210e-09
1.12557e+00 6.46376e-15 4.67132e+03 2.37246e+00 2.56569e-07 2.26614e-07 2.10132e-08 0.00000e+00 4.46259e-09
